Year,Value
2015,10.64
2016,10.68
2017,10.7
2018,10.73
2019,10.74
2020,10.75
2021,10.74
2022,10.73
2023,10.72
2024,10.71
2025,10.71
2026,10.73
2027,10.77
2028,10.83
2029,10.9
2030,10.98
2031,11.05
2032,11.12
2033,11.18
2034,11.24
2035,11.3
2036,11.35
2037,11.39
2038,11.44
2039,11.48
2040,11.51
2041,11.53
2042,11.54
2043,11.54
2044,11.55
2045,11.55
2046,11.57
2047,11.6
2048,11.66
2049,11.73
2050,11.81
2051,11.89
2052,11.96
2053,12.02
2054,12.08
2055,12.12
2056,12.16
2057,12.21
2058,12.26
2059,12.31
2060,12.37
2061,12.44
2062,12.5
2063,12.57
2064,12.64
2065,12.71
2066,12.77
2067,12.82
2068,12.86
2069,12.9
2070,12.92
2071,12.94
2072,12.97
2073,13.0
2074,13.06
2075,13.12
2076,13.2
2077,13.28
2078,13.36
2079,13.43
2080,13.49
2081,13.54
2082,13.59
2083,13.63
2084,13.69
2085,13.76
2086,13.83
2087,13.91
2088,13.98
2089,14.06
2090,14.13
2091,14.2
2092,14.26
2093,14.31
2094,14.37
2095,14.42
2096,14.47
2097,14.52
2098,14.57
2099,14.63
2100,14.68
